rdkit_library_standard_inchi_key,protein_name,Compound-protein pairs,Unique compound–Mu-type opioid receptor pairs:,% MOR compound-target-pairs,,rdkit_parent_structure_inchi_key,Unique_single_fragment_structures,,Column Names,Statistics Label,Statistics,Totals,,,,,,,
XLSUOTMYDUFLSS-IOQGVJNZSA-N,Kappa-type opioid receptor,"26,667","9,963",37.36078299,,VNXVHYBMOSJZHB-LRXVAGHRSA-N,"12,721",,odo_activity_id,Activities,# of Unique Activities,"37,362",Note: each row in the dataset represents a unique activity data point (experiment),,,,,,
XLSUOTMYDUFLSS-IOQGVJNZSA-N,Mu-type opioid receptor,,,,,SBEVDTWPQIXWDO-YPNAQSPOSA-N,,,rdkit_library_standard_inchi_key,Compounds,# of Unique Compounds,"13,350",,,,,,,
OFMRRGXTRGRVSO-LWHRXMGKSA-N,Delta-type opioid receptor,,,,,NRDPNHFRRWANSW-YPNAQSPOSA-N,,,odo_assay_title,Assays,# of Unique Assays,68,,,,,,,
OFMRRGXTRGRVSO-LWHRXMGKSA-N,Mu-type opioid receptor,,,,,JSZCJTFFFLFQBJ-FSGKZVOOSA-N,,,cellosaurus_cell_line_name,Cell Lines,# of Unique Cell lines,65,,,,,,,
OFMRRGXTRGRVSO-IEYMSYQKSA-N,Delta-type opioid receptor,,,,,VCTWEJIUVCJXEY-UHFFFAOYSA-N,,,uberon_tissue_name,Tissues,# of Unique Tissues,20,,,,,,,
OFMRRGXTRGRVSO-ZYJRZPESSA-N,Mu-type opioid receptor,,,,,ZUOAZAWAQZKUKC-QITFCLPUSA-N,,,odo_assay_format,Assay Formats,# of Assay Formats,4,,,,,,,
OFMRRGXTRGRVSO-ZYJRZPESSA-N,Delta-type opioid receptor,,,,,ADPQCWUGLGBPRO-UHFFFAOYSA-N,,,pro_protein_name,Proteins,# of Unique Proteins,12,,,,,,,
OFMRRGXTRGRVSO-YRLJJAFYSA-N,Mu-type opioid receptor,,,,,FHZPGIUBXYVUOY-UHFFFAOYSA-N,,,chembl_document_id | document_doi,ChEMBL Document ID | Document DOI,# of Unique Documents,1045,Note: Document is a sum of the unique values in columns: ChEMBL Document ID and  Document DOI ,,,,,,
SVFJEQPYYYYTQB-YRLJJAFYSA-N,Delta-type opioid receptor,,,,,RJEUERNNQHNSKG-UHFFFAOYSA-N,,,,,,,,,,,,,
SVFJEQPYYYYTQB-YRLJJAFYSA-N,Mu-type opioid receptor,,,,,BFSKEMNZFARJEG-UHFFFAOYSA-N,,,,,,,,,,,,,
SVFJEQPYYYYTQB-ZYJRZPESSA-N,Mu-type opioid receptor,,,,,HPZJMUBDEAMBFI-UHFFFAOYSA-N,,,,,,,,,,,,,
SVFJEQPYYYYTQB-ZYJRZPESSA-N,Delta-type opioid receptor,,,,,VUBAEISRKSELTE-UHFFFAOYSA-N,,,,,,,,,,,,,
SVFJEQPYYYYTQB-IEYMSYQKSA-N,Delta-type opioid receptor,,,,,INQWRMKPKQZIOZ-UHFFFAOYSA-N,,,,,,,,,,,,,
SVFJEQPYYYYTQB-IEYMSYQKSA-N,Mu-type opioid receptor,,,,,MTTXEONPPSHVNT-UHFFFAOYSA-N,,,,,,,,,,,,,
SVFJEQPYYYYTQB-LWHRXMGKSA-N,Delta-type opioid receptor,,,,,NKULLHQHASCPKR-UHFFFAOYSA-N,,,,,,,,,,,,,
JSZCJTFFFLFQBJ-FSGKZVOOSA-N,Delta-type opioid receptor,,,,,ZASPFNTXFLESNS-UHFFFAOYSA-N,,,,,,,,,,,,,
VCTWEJIUVCJXEY-CPCREDONSA-N,Mu-type opioid receptor,,,,,IQGTUPXJLRMAOA-UHFFFAOYSA-N,,,,,,,,,,,,,
ZUOAZAWAQZKUKC-GRTQMULKSA-N,Delta-type opioid receptor,,,,,NTYJRAGMLUHRNV-UHFFFAOYSA-N,,,,,,,,,,,,,
ZUOAZAWAQZKUKC-GRTQMULKSA-N,Mu-type opioid receptor,,,,,YICNJKARNVERTG-UHFFFAOYSA-N,,,,,,,,,,,,,
ADPQCWUGLGBPRO-ISCRSJHHSA-N,Delta-type opioid receptor,,,,,DSXDZHLLPRAKKT-UHFFFAOYSA-N,,,,,,,,,,,,,
FHZPGIUBXYVUOY-VWGYHWLBSA-N,Mu-type opioid receptor,,,,,XOXIGOYEWHFRCB-UHFFFAOYSA-N,,,,,,,,,,,,,
